,Категория,Всё время: Все источники,Сутки: Все источники,Среднее за сутки: Все источники,День: 3habr.com|ru|rss|all|all|,День: hibinform.ru|feed|,День: lenta.ru|rss|,День: regnum.ru|rss,День: ria.ru|export|rss2|archive|index.xml,День: rossaprimavera.ru|rss,День: tass.ru|rss|v2.xml,День: www.cnews.ru|inc|rss|news.xml,День: www.kommersant.ru|RSS|news.xml,День: www.vedomosti.ru|rss|news,habr.com|ru|rss|all|all|,hibinform.ru|feed|,lenta.ru|rss|,regnum.ru|rss,ria.ru|export|rss2|archive|index.xml,rossaprimavera.ru|rss,tass.ru|rss|v2.xml,www.cnews.ru|inc|rss|news.xml,www.kommersant.ru|RSS|news.xml,www.vedomosti.ru|rss|news,День макс.кол-ва публ.
0,авто,865,11.0,33,,,,,,,,,11.0,,,,,,,,,,600.0,265.0,2022-12-27
1,армия,4692,137.0,130,,,88.0,,,21.0,28.0,,,,,,2581.0,,,1272.0,839.0,,,,2022-12-28
2,бизнес,31143,577.0,742,44.0,,92.0,64.0,,34.0,141.0,,161.0,41.0,1237.0,,3722.0,1745.0,,1594.0,3731.0,,12616.0,6498.0,2022-12-28
3,жизнь,7351,171.0,199,,,135.0,36.0,,,,,,,,,4088.0,3263.0,,,,,,,2022-12-31
4,за рубежом,42584,624.0,1092,,,229.0,,,23.0,143.0,,229.0,,,,9848.0,,,862.0,5695.0,,26179.0,,2023-01-28
5,история,1611,55.0,47,,,52.0,,,3.0,,,,,,,1506.0,,,69.0,36.0,,,,2022-12-28
6,ИТ,7382,130.0,194,45.0,,47.0,3.0,,,,,33.0,2.0,1606.0,,1607.0,100.0,,,,,2823.0,1246.0,2022-12-30
7,космос,124,6.0,4,,,,,,,6.0,,,,,,,,,,124.0,,,,2022-12-31
8,космос,124,6.0,4,,,,,,,6.0,,,,,,,,,,124.0,,,,2023-01-10
9,культура,3878,79.0,102,,,48.0,3.0,,4.0,18.0,,6.0,,,,1638.0,290.0,,197.0,578.0,,1175.0,,2023-01-15
10,наука,196,3.0,6,,,,3.0,,,,,,,93.0,,,92.0,,,11.0,,,,2023-01-10
11,наука,196,3.0,6,,,,3.0,,,,,,,93.0,,,92.0,,,11.0,,,,2023-01-12
12,новости,35826,768.0,896,,,44.0,34.0,586.0,,50.0,,54.0,,,,1660.0,2626.0,22192.0,,2677.0,,6246.0,425.0,2022-12-30
13,новые новости,15167,118.0,353,26.0,,,,,,12.0,80.0,,,997.0,10.0,6.0,,,8.0,113.0,13950.0,,83.0,2022-12-29
14,образование,13,,2,,,,,,,,,,,13.0,,,,,,,,,,2023-01-11
15,общество,26032,396.0,620,,,,121.0,,40.0,104.0,,83.0,48.0,,6.0,,3616.0,,1007.0,4409.0,,8692.0,8302.0,2023-01-20
16,политика,30832,492.0,734,,,,219.0,,71.0,49.0,,24.0,129.0,,,,7918.0,,2287.0,1352.0,,2498.0,16777.0,2022-12-30
17,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2022-12-29
18,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2023-01-05
19,производство,75,,3,,,,,,,,,,,75.0,,,,,,,,,,2023-01-03
20,развлечения,84,2.0,4,2.0,,,,,,,,,,84.0,,,,,,,,,,2022-12-30
21,регионы,1279,18.0,31,,5.0,2.0,,,,11.0,,,,4.0,424.0,114.0,,,,737.0,,,,2022-12-30
22,россия,16608,331.0,461,,,293.0,14.0,,24.0,,,,,,,13712.0,1983.0,,913.0,,,,,2023-01-01
23,спорт,7771,136.0,199,,,51.0,22.0,,22.0,24.0,,17.0,,,,2730.0,450.0,,891.0,1669.0,,2031.0,,2023-01-29
24,транспорт,5,,3,,,,,,,,,,,2.0,,,,,,3.0,,,,2022-12-27
25,туризм,1586,39.0,44,,,39.0,,,,,,,,,,1583.0,,,,3.0,,,,2022-12-31
26,финансы,8,,1,,,,,,,,,,,8.0,,,,,,,,,,2022-12-28
