,Категория,Всё время: Все источники,Сутки: Все источники,Среднее за сутки: Все источники,День: 3habr.com|ru|rss|all|all|,День: hibinform.ru|feed|,День: lenta.ru|rss|,День: regnum.ru|rss,День: ria.ru|export|rss2|archive|index.xml,День: rossaprimavera.ru|rss,День: tass.ru|rss|v2.xml,День: www.cnews.ru|inc|rss|news.xml,День: www.kommersant.ru|RSS|news.xml,День: www.vedomosti.ru|rss|news,habr.com|ru|rss|all|all|,hibinform.ru|feed|,lenta.ru|rss|,regnum.ru|rss,ria.ru|export|rss2|archive|index.xml,rossaprimavera.ru|rss,tass.ru|rss|v2.xml,www.cnews.ru|inc|rss|news.xml,www.kommersant.ru|RSS|news.xml,www.vedomosti.ru|rss|news,День макс.кол-ва публ.
0,авто,887,2.0,33,,,,,,,,,,2.0,,,,,,,,,612.0,275.0,2022-12-27
1,армия,4821,126.0,130,,,88.0,,,21.0,17.0,,,,,,2672.0,,,1293.0,856.0,,,,2022-12-28
2,бизнес,32106,549.0,747,41.0,,89.0,45.0,,31.0,157.0,,154.0,32.0,1278.0,,3819.0,1795.0,,1625.0,3888.0,,13025.0,6676.0,2022-12-28
3,жизнь,7486,116.0,197,,,103.0,13.0,,,,,,,,,4201.0,3285.0,,,,,,,2022-12-31
4,за рубежом,43677,508.0,1092,,,190.0,,,24.0,122.0,,172.0,,,,10065.0,,,886.0,5817.0,,26909.0,,2023-01-28
5,история,1676,62.0,48,,,59.0,,,3.0,,,,,,,1568.0,,,72.0,36.0,,,,2022-12-28
6,ИТ,7594,137.0,195,29.0,,61.0,,,,,,42.0,5.0,1635.0,,1675.0,101.0,,,,,2922.0,1261.0,2022-12-30
7,космос,125,1.0,4,,,,,,,1.0,,,,,,,,,,125.0,,,,2023-01-10
8,космос,125,1.0,4,,,,,,,1.0,,,,,,,,,,125.0,,,,2022-12-31
9,культура,3981,79.0,102,,,38.0,9.0,,8.0,16.0,,8.0,,,,1676.0,302.0,,205.0,594.0,,1204.0,,2023-01-15
10,наука,205,9.0,6,,,,8.0,,,1.0,,,,93.0,,,100.0,,,12.0,,,,2023-01-12
11,наука,205,9.0,6,,,,8.0,,,1.0,,,,93.0,,,100.0,,,12.0,,,,2023-01-10
12,новости,36776,806.0,897,,,50.0,41.0,583.0,,82.0,,50.0,,,,1713.0,2674.0,22791.0,,2759.0,,6413.0,426.0,2022-12-30
13,новые новости,15828,192.0,360,45.0,,,,,,8.0,139.0,,,1042.0,10.0,6.0,,,8.0,121.0,14548.0,,93.0,2022-12-29
14,образование,17,4.0,2,4.0,,,,,,,,,,17.0,,,,,,,,,,2023-02-01
15,образование,17,4.0,2,4.0,,,,,,,,,,17.0,,,,,,,,,,2023-01-11
16,общество,26885,545.0,625,,,,161.0,,31.0,120.0,,153.0,80.0,,6.0,,3795.0,,1038.0,4529.0,,8998.0,8519.0,2023-01-20
17,политика,31767,416.0,739,,,,204.0,,66.0,15.0,,19.0,112.0,,,,8145.0,,2353.0,1367.0,,2556.0,17346.0,2022-12-30
18,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2023-01-05
19,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2022-12-29
20,производство,76,1.0,3,1.0,,,,,,,,,,76.0,,,,,,,,,,2023-01-03
21,развлечения,84,,4,,,,,,,,,,,84.0,,,,,,,,,,2022-12-30
22,регионы,1323,29.0,32,,5.0,11.0,,,,13.0,,,,4.0,444.0,125.0,,,,750.0,,,,2022-12-30
23,россия,17020,378.0,460,,,333.0,20.0,,25.0,,,,,,,14067.0,2015.0,,938.0,,,,,2023-01-01
24,спорт,7964,141.0,199,,,53.0,17.0,,25.0,35.0,,11.0,,,,2784.0,470.0,,916.0,1704.0,,2090.0,,2023-01-29
25,транспорт,5,,3,,,,,,,,,,,2.0,,,,,,3.0,,,,2022-12-27
26,туризм,1627,38.0,44,,,38.0,,,,,,,,,,1624.0,,,,3.0,,,,2022-12-31
27,финансы,8,,1,,,,,,,,,,,8.0,,,,,,,,,,2022-12-28
