,Категория,Всё время: Все источники,Сутки: Все источники,Среднее за сутки: Все источники,День: 3habr.com|ru|rss|all|all|,День: hibinform.ru|feed|,День: lenta.ru|rss|,День: regnum.ru|rss,День: ria.ru|export|rss2|archive|index.xml,День: rossaprimavera.ru|rss,День: tass.ru|rss|v2.xml,День: www.cnews.ru|inc|rss|news.xml,День: www.kommersant.ru|RSS|news.xml,День: www.vedomosti.ru|rss|news,habr.com|ru|rss|all|all|,hibinform.ru|feed|,lenta.ru|rss|,regnum.ru|rss,ria.ru|export|rss2|archive|index.xml,rossaprimavera.ru|rss,tass.ru|rss|v2.xml,www.cnews.ru|inc|rss|news.xml,www.kommersant.ru|RSS|news.xml,www.vedomosti.ru|rss|news,День макс.кол-ва публ.
0,авто,449,5.0,32,,,,,,,,,3.0,2.0,,,,,,,,,306.0,143.0,2022-12-26
1,армия,2433,124.0,128,,,58.0,,,43.0,23.0,,,,,,1306.0,,,656.0,471.0,,,,2022-12-27
2,бизнес,17786,453.0,711,31.0,,79.0,32.0,,51.0,133.0,,99.0,28.0,628.0,,2217.0,870.0,,969.0,2154.0,,7183.0,3765.0,2022-12-28
3,жизнь,3992,198.0,200,,,116.0,82.0,,,,,,,,,2135.0,1857.0,,,,,,,2022-12-30
4,за рубежом,19934,630.0,949,,,193.0,,,15.0,170.0,,252.0,,,,4947.0,,,512.0,2839.0,,11636.0,,2023-01-09
5,история,779,53.0,46,,,49.0,,,3.0,1.0,,,,,,722.0,,,36.0,21.0,,,,2022-12-27
6,ИТ,3682,120.0,175,30.0,,38.0,1.0,,,,,35.0,16.0,869.0,,814.0,55.0,,,,,1335.0,609.0,2022-12-29
7,космос,71,7.0,5,,,,,,,7.0,,,,,,,,,,71.0,,,,2022-12-31
8,космос,71,7.0,5,,,,,,,7.0,,,,,,,,,,71.0,,,,2023-01-11
9,культура,1817,70.0,91,,,28.0,7.0,,6.0,19.0,,10.0,,,,805.0,142.0,,106.0,283.0,,481.0,,2023-01-10
10,наука,111,7.0,7,7.0,,,,,,,,,,58.0,,,50.0,,,3.0,,,,2023-01-10
11,новости,18864,766.0,857,,,40.0,48.0,583.0,,52.0,,34.0,9.0,,,856.0,1486.0,11750.0,,1336.0,,3261.0,175.0,2022-12-27
12,новые новости,7870,102.0,303,35.0,,,,,,4.0,63.0,,,430.0,,,,,3.0,32.0,7369.0,,36.0,2022-12-28
13,образование,6,,2,,,,,,,,,,,6.0,,,,,,,,,,2023-01-10
14,общество,13932,444.0,557,,,,76.0,,28.0,162.0,,109.0,69.0,,6.0,,1898.0,,586.0,2601.0,,4165.0,4676.0,2023-01-09
15,политика,14910,466.0,596,,,,210.0,,72.0,48.0,,23.0,113.0,,,,3873.0,,1235.0,623.0,,1380.0,7799.0,2022-12-30
16,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2023-01-05
17,праздники,2,,1,,,,,,,,,,,,,,,,,2.0,,,,2022-12-28
18,производство,40,,4,,,,,,,,,,,40.0,,,,,,,,,,2023-01-02
19,развлечения,45,,5,,,,,,,,,,,45.0,,,,,,,,,,2022-12-29
20,регионы,619,30.0,26,,2.0,4.0,,,,24.0,,,,1.0,164.0,67.0,,,,387.0,,,,2022-12-29
21,россия,9470,392.0,498,,,299.0,72.0,,21.0,,,,,,,7788.0,1178.0,,504.0,,,,,2023-01-01
22,спорт,3749,148.0,179,,,54.0,6.0,,43.0,34.0,,11.0,,,,1326.0,194.0,,467.0,813.0,,949.0,,2023-01-03
23,транспорт,3,,3,,,,,,,,,,,,,,,,,3.0,,,,2022-12-26
24,туризм,815,36.0,43,,,36.0,,,,,,,,,,814.0,,,,1.0,,,,2022-12-27
25,финансы,4,,1,,,,,,,,,,,4.0,,,,,,,,,,2022-12-27
